gdc_file_id	aliquot_id	case_id	disease_type	experimental_strategy	gender	investigation	platform	primary_site	reference_genome	sample_id	sample_type
dea4cc6c-aa72-4dd1-8e88-54eb2092d745	CCLE-Hs852.T-RNA-08	CCLE-Hs852.T	Skin Cutaneous Melanoma	RNA-Seq	Male	CCLE-SKCM	Illumina	skin	HG19_Broad_variant	Hs852.T	Cell Line
df50cd89-12d9-46ee-a20f-e6a20a4f10b0	CCLE-SNU-61-RNA-08	CCLE-SNU-61	Colon adenocarcinoma	RNA-Seq	Male	CCLE-COAD	Illumina	large_intestine	HG19_Broad_variant	SNU-61	Cell Line
b82fb337-1b52-4146-b3a8-7878422a8027	CCLE-MUTZ-5-RNA-08	CCLE-MUTZ-5	Chronic Lymphocytic Leukemia	RNA-Seq	Male	CCLE-LCLL	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	MUTZ-5	Cell Line
29f2b02c-9852-4d99-9322-dfcf0bdb4a80	CCLE-HuT78-RNA-08	CCLE-HuT78	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	RNA-Seq	Male	CCLE-DLBC	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	HuT78	Cell Line
fbdca495-36e8-4786-9169-9ffe24ec4d5d	CCLE-GCIY-RNA-08	CCLE-GCIY	Stomach adenocarcinoma	RNA-Seq	Female	CCLE-STAD	Illumina	stomach	HG19_Broad_variant	GCIY	Cell Line
31a00988-4c90-4ada-918c-000a7f05b6cc	CCLE-MHH-CALL-2-RNA-08	CCLE-MHH-CALL-2	Chronic Lymphocytic Leukemia	RNA-Seq	Female	CCLE-LCLL	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	MHH-CALL-2	Cell Line
a37de319-05a2-4ab4-8b9c-a9e7b48b2c15	CCLE-SNU-8-RNA-08	CCLE-SNU-8	Ovarian serous cystadenocarcinoma	RNA-Seq	Female	CCLE-OV	Illumina	ovary	HG19_Broad_variant	SNU-8	Cell Line
4564c61e-d134-41d8-aba7-16eb6467a63d	CCLE-T-47D-RNA-08	CCLE-T-47D	Breast invasive carcinoma	RNA-Seq	Female	CCLE-BRCA	Illumina	breast	HG19_Broad_variant	T-47D	Cell Line
03f81428-b59b-4fae-bf00-545a9a59a2e4	CCLE-A4-Fuk-RNA-08	CCLE-A4-Fuk	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	RNA-Seq	Female	CCLE-DLBC	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	A4-Fuk	Cell Line
cf7bd5fa-48a1-4a10-a38e-d34412f886c6	CCLE-NCI-H2291-RNA-08	CCLE-NCI-H2291	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	NCI-H2291	Cell Line
6994834a-66b9-4356-a27d-985bdafb6f7a	CCLE-BICR18-RNA-08	CCLE-BICR18	Head and Neck squamous cell carcinoma	RNA-Seq	Male	CCLE-HNSC	Illumina	upper_aerodigestive_tract	HG19_Broad_variant	BICR18	Cell Line
4bc29906-a409-4f7d-812f-fd300d2ad9ad	CCLE-BT-483-RNA-08	CCLE-BT-483	Breast invasive carcinoma	RNA-Seq	Female	CCLE-BRCA	Illumina	breast	HG19_Broad_variant	BT-483	Cell Line
29f3edc7-5155-4e39-aac8-f68f7dc5be18	CCLE-SNU-626-RNA-08	CCLE-SNU-626	Brain Lower Grade Glioma	RNA-Seq	Male	CCLE-LGG	Illumina	central_nervous_system	HG19_Broad_variant	SNU-626	Cell Line
bf85d21f-882b-40c3-9e34-9a755470c6a0	CCLE-Hs706.T-RNA-08	CCLE-Hs706.T	Sarcoma	RNA-Seq	Female	CCLE-SARC	Illumina	bone	HG19_Broad_variant	Hs706.T	Cell Line
da249431-4151-468e-91af-070f3ac5cb56	CCLE-AsPC-1-RNA-08	CCLE-AsPC-1	Pancreatic adenocarcinoma	RNA-Seq	Female	CCLE-PAAD	Illumina	pancreas	HG19_Broad_variant	AsPC-1	Cell Line
58f9fc13-dbfa-43c3-ab34-e78c9a5e9202	CCLE-SNU-81-RNA-08	CCLE-SNU-81	Colon adenocarcinoma	RNA-Seq	Male	CCLE-COAD	Illumina	large_intestine	HG19_Broad_variant	SNU-81	Cell Line
a55dd78a-107e-4c0b-96aa-533b4b1fd074	CCLE-U-BLC1-RNA-08	CCLE-U-BLC1	Bladder Urothelial Carcinoma	RNA-Seq	Female	CCLE-BLCA	Illumina	urinary_tract	HG19_Broad_variant	U-BLC1	Cell Line
2785e37f-b489-40fe-8118-1400eed8a585	CCLE-COLO-678-RNA-08	CCLE-COLO-678	Colon adenocarcinoma	RNA-Seq	Male	CCLE-COAD	Illumina	large_intestine	HG19_Broad_variant	COLO-678	Cell Line
e29af531-b99c-462b-a53e-0d3278071389	CCLE-MOLM-6-RNA-08	CCLE-MOLM-6	Chronic Lymphocytic Leukemia	RNA-Seq	Male	CCLE-LCLL	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	MOLM-6	Cell Line
6a60893d-4472-43fd-9ead-cb7b8c2fe9b4	CCLE-KYSE-140-RNA-08	CCLE-KYSE-140	Esophageal carcinoma	RNA-Seq	Male	CCLE-ESCA	Illumina	oesophagus	HG19_Broad_variant	KYSE-140	Cell Line
a3dee2de-710c-4fea-917c-ebd3dc178302	CCLE-COR-L311-RNA-08	CCLE-COR-L311	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	COR-L311	Cell Line
1e72f8f4-9fc7-4926-b9f7-040c18171dee	CCLE-SK-LU-1-RNA-08	CCLE-SK-LU-1	Lung squamous cell carcinoma	RNA-Seq	Female	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	SK-LU-1	Cell Line
a8cb3312-8bcc-4f8b-b272-0a4759420c13	CCLE-LOU-NH91-RNA-08	CCLE-LOU-NH91	Lung squamous cell carcinoma	RNA-Seq	Female	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	LOU-NH91	Cell Line
d3737457-0cbb-4a63-a8bb-87425272c314	CCLE-HLF-RNA-08	CCLE-HLF	Liver hepatocellular carcinoma	RNA-Seq	Male	CCLE-LIHC	Illumina	liver	HG19_Broad_variant	HLF	Cell Line
59c898e7-ddca-4369-a81b-3f4a397d2740	CCLE-Hs616.T-RNA-08	CCLE-Hs616.T	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	RNA-Seq	Male	CCLE-DLBC	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	Hs616.T	Cell Line
8cfdfe09-8877-40e1-84c3-7aa7ce8e2449	CCLE-P12-ICHIKAWA-RNA-08	CCLE-P12-ICHIKAWA	Chronic Lymphocytic Leukemia	RNA-Seq	Male	CCLE-LCLL	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	P12-ICHIKAWA	Cell Line
8396567d-1f52-4b73-ad86-3effdbb21e20	CCLE-NCI-H1793-RNA-08	CCLE-NCI-H1793	Lung squamous cell carcinoma	RNA-Seq	Female	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	NCI-H1793	Cell Line
f09a7ee6-31e0-4f7c-9212-3235e7193659	CCLE-KYSE-30-RNA-08	CCLE-KYSE-30	Esophageal carcinoma	RNA-Seq	Male	CCLE-ESCA	Illumina	oesophagus	HG19_Broad_variant	KYSE-30	Cell Line
a26333aa-21e2-45f3-b7ec-6f70f797a8fa	CCLE-PC-3-RNA-08	CCLE-PC-3	Prostate adenocarcinoma	RNA-Seq	Male	CCLE-PRAD	Illumina	prostate	HG19_Broad_variant	PC-3	Cell Line
5caa3da3-813d-431e-a391-f5c111d9f9e8	CCLE-TE-14-RNA-08	CCLE-TE-14	Esophageal carcinoma	RNA-Seq	Not available	CCLE-ESCA	Illumina	oesophagus	HG19_Broad_variant	TE-14	Cell Line
dc008c2c-eec1-4a98-b86f-8fd1dfc99db9	CCLE-JM1-RNA-08	CCLE-JM1	Chronic Lymphocytic Leukemia	RNA-Seq	Not available	CCLE-LCLL	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	JM1	Cell Line
880aa66f-e9ba-4c6f-82ce-a8b12e20ca3c	CCLE-ECC12-RNA-08	CCLE-ECC12	Stomach adenocarcinoma	RNA-Seq	Not available	CCLE-STAD	Illumina	stomach	HG19_Broad_variant	ECC12	Cell Line
d3e3d7d8-6bae-4809-94ca-cb84ab63b45a	CCLE-SW48-RNA-08	CCLE-SW48	Colon adenocarcinoma	RNA-Seq	Female	CCLE-COAD	Illumina	large_intestine	HG19_Broad_variant	SW48	Cell Line
c35f9c09-803a-4ec2-9edf-7cbae289e471	CCLE-FaDu-RNA-08	CCLE-FaDu	Head and Neck squamous cell carcinoma	RNA-Seq	Male	CCLE-HNSC	Illumina	upper_aerodigestive_tract	HG19_Broad_variant	FaDu	Cell Line
a56e9dd1-bf79-457a-aa80-c8513a82f6e8	CCLE-253J-BV-RNA-08	CCLE-253J-BV	Bladder Urothelial Carcinoma	RNA-Seq	Unknown	CCLE-BLCA	Illumina	urinary_tract	HG19_Broad_variant	253J-BV	Cell Line
427b9dee-4905-4b92-98b0-c7b700e8986c	CCLE-LCLC-97TM1-RNA-08	CCLE-LCLC-97TM1	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	LCLC-97TM1	Cell Line
ac12eb85-1ec0-4ac7-ada9-2e229d947699	CCLE-MOLM-16-RNA-08	CCLE-MOLM-16	Chronic Lymphocytic Leukemia	RNA-Seq	Female	CCLE-LCLL	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	MOLM-16	Cell Line
14a78bb4-8095-4ffd-a963-5befd42c8428	CCLE-23132-87-RNA-08	CCLE-23132-87	Stomach adenocarcinoma	RNA-Seq	Male	CCLE-STAD	Illumina	stomach	HG19_Broad_variant	23132-87	Cell Line
32c43be9-d2d8-4ce5-8f16-6651c0df6f84	CCLE-A549-RNA-08	CCLE-A549	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	A549	Cell Line
3d4ca824-6de4-409e-9003-89d5fd6ab269	CCLE-Calu-3-RNA-08	CCLE-Calu-3	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	Calu-3	Cell Line
26d461be-fa91-40ec-8d68-3d2db7367333	CCLE-JHH-6-RNA-08	CCLE-JHH-6	Liver hepatocellular carcinoma	RNA-Seq	Female	CCLE-LIHC	Illumina	liver	HG19_Broad_variant	JHH-6	Cell Line
066c6486-1b31-4cfc-9e05-66de0b4539c3	CCLE-SW1990-RNA-08	CCLE-SW1990	Pancreatic adenocarcinoma	RNA-Seq	Male	CCLE-PAAD	Illumina	pancreas	HG19_Broad_variant	SW1990	Cell Line
abe6d60f-2822-40ce-ba61-c534aff20eea	CCLE-Hs281.T-RNA-08	CCLE-Hs281.T	Breast invasive carcinoma	RNA-Seq	Female	CCLE-BRCA	Illumina	breast	HG19_Broad_variant	Hs281.T	Cell Line
d0800cb3-0ffa-4fd6-bf42-ceed3cee809f	CCLE-HCC38-RNA-08	CCLE-HCC38	Breast invasive carcinoma	RNA-Seq	Female	CCLE-BRCA	Illumina	breast	HG19_Broad_variant	HCC38	Cell Line
6c0130cc-68c6-444a-97e9-4a4515fc7398	CCLE-GB-1-RNA-08	CCLE-GB-1	Brain Lower Grade Glioma	RNA-Seq	Male	CCLE-LGG	Illumina	central_nervous_system	HG19_Broad_variant	GB-1	Cell Line
8a8565e1-2b67-41b9-87ed-36474622acb7	CCLE-SW1573-RNA-08	CCLE-SW1573	Lung squamous cell carcinoma	RNA-Seq	Female	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	SW1573	Cell Line
303a7329-0160-4699-878e-ba52a4d2df2f	CCLE-MDA-MB-453-RNA-08	CCLE-MDA-MB-453	Breast invasive carcinoma	RNA-Seq	Female	CCLE-BRCA	Illumina	breast	HG19_Broad_variant	MDA-MB-453	Cell Line
5fecdcf4-5d7e-47c1-bc27-e75f26b7dbe8	CCLE-NCI-H1703-RNA-08	CCLE-NCI-H1703	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	NCI-H1703	Cell Line
7e66e2d2-c77f-4b86-8bab-960117896ff6	CCLE-SW1463-RNA-08	CCLE-SW1463	Colon adenocarcinoma	RNA-Seq	Female	CCLE-COAD	Illumina	large_intestine	HG19_Broad_variant	SW1463	Cell Line
e8362d69-3c9d-4ff9-965f-0c3498e5f861	CCLE-SNU-601-RNA-08	CCLE-SNU-601	Stomach adenocarcinoma	RNA-Seq	Male	CCLE-STAD	Illumina	stomach	HG19_Broad_variant	SNU-601	Cell Line
192b6d80-fba1-49ce-8d62-aade197403af	CCLE-NCI-H1299-RNA-08	CCLE-NCI-H1299	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	NCI-H1299	Cell Line
d1c34b42-cd8c-4777-868b-b40d38dd729e	CCLE-HuT102-RNA-08	CCLE-HuT102	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	RNA-Seq	Male	CCLE-DLBC	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	HuT102	Cell Line
8ce730b9-56af-4869-9769-49cc09d18041	CCLE-NCI-H2052-RNA-08	CCLE-NCI-H2052	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	pleura	HG19_Broad_variant	NCI-H2052	Cell Line
c8401274-0b9a-4dfc-9d2a-5621be59425c	CCLE-JVM-2-RNA-08	CCLE-JVM-2	Chronic Lymphocytic Leukemia	RNA-Seq	Female	CCLE-LCLL	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	JVM-2	Cell Line
7e5b9cfe-2eee-479f-b37c-86e05f90b624	CCLE-SNU-1077-RNA-08	CCLE-SNU-1077	Cervical squamous cell carcinoma and endocervical adenocarcinoma	RNA-Seq	Female	CCLE-CESC	Illumina	endometrium	HG19_Broad_variant	SNU-1077	Cell Line
aecca2e6-0181-4447-992a-efa6414d626a	CCLE-T98G-RNA-08	CCLE-T98G	Brain Lower Grade Glioma	RNA-Seq	Male	CCLE-LGG	Illumina	central_nervous_system	HG19_Broad_variant	T98G	Cell Line
bea32b75-7471-460a-987a-e134dc4f3c39	CCLE-OE33-RNA-08	CCLE-OE33	Esophageal carcinoma	RNA-Seq	Female	CCLE-ESCA	Illumina	oesophagus	HG19_Broad_variant	OE33	Cell Line
72e9f1b3-1620-4e93-bd60-5bcb19a7a5f6	CCLE-TE-4-RNA-08	CCLE-TE-4	Esophageal carcinoma	RNA-Seq	Not available	CCLE-ESCA	Illumina	oesophagus	HG19_Broad_variant	TE-4	Cell Line
1a8bcaba-1b85-436a-aa90-2a2eaf80d495	CCLE-NCI-H2342-RNA-08	CCLE-NCI-H2342	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	NCI-H2342	Cell Line
99ce0fb0-c1c9-4651-adbf-653fca8709ca	CCLE-SJSA-1-RNA-08	CCLE-SJSA-1	Sarcoma	RNA-Seq	Male	CCLE-SARC	Illumina	bone	HG19_Broad_variant	SJSA-1	Cell Line
87388baa-856e-4323-8f98-bb5e74319ccf	CCLE-EBC-1-RNA-08	CCLE-EBC-1	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	EBC-1	Cell Line
1f918d0b-b3dd-4137-8b9e-9f5235d1c1d0	CCLE-NCI-H1876-RNA-08	CCLE-NCI-H1876	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	NCI-H1876	Cell Line
13e519f3-239f-4daa-9ffb-c081174def69	CCLE-HEC-151-RNA-08	CCLE-HEC-151	Cervical squamous cell carcinoma and endocervical adenocarcinoma	RNA-Seq	Female	CCLE-CESC	Illumina	endometrium	HG19_Broad_variant	HEC-151	Cell Line
bda6b62a-32d2-4ca3-aa7a-8ab622d3a293	CCLE-TOV-112D-RNA-08	CCLE-TOV-112D	Ovarian serous cystadenocarcinoma	RNA-Seq	Female	CCLE-OV	Illumina	ovary	HG19_Broad_variant	TOV-112D	Cell Line
0b520da3-8463-4988-977c-e70ad5125785	CCLE-RPMI-8402-RNA-08	CCLE-RPMI-8402	Chronic Lymphocytic Leukemia	RNA-Seq	Female	CCLE-LCLL	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	RPMI-8402	Cell Line
5f933bda-f233-42db-a178-96333b584845	CCLE-HCC2935-RNA-08	CCLE-HCC2935	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	HCC2935	Cell Line
fc1d84bf-ddae-4f5e-b00e-a38bb4902baa	CCLE-59M-RNA-08	CCLE-59M	Ovarian serous cystadenocarcinoma	RNA-Seq	Female	CCLE-OV	Illumina	ovary	HG19_Broad_variant	59M	Cell Line
44584d3f-e5db-4ece-8970-9480c921f812	CCLE-MHH-CALL-3-RNA-08	CCLE-MHH-CALL-3	Chronic Lymphocytic Leukemia	RNA-Seq	Female	CCLE-LCLL	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	MHH-CALL-3	Cell Line
e7cc4292-a9cb-47e0-ae2d-27f9190f7d6c	CCLE-MSTO-211H-RNA-08	CCLE-MSTO-211H	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	pleura	HG19_Broad_variant	MSTO-211H	Cell Line
240c65aa-7152-453d-a0bb-32364d521f9f	CCLE-SK-CO-1-RNA-08	CCLE-SK-CO-1	Colon adenocarcinoma	RNA-Seq	Male	CCLE-COAD	Illumina	large_intestine	HG19_Broad_variant	SK-CO-1	Cell Line
f7ebbb68-52c6-4804-bceb-7315f8c96dfa	CCLE-Hs819.T-RNA-08	CCLE-Hs819.T	Sarcoma	RNA-Seq	Male	CCLE-SARC	Illumina	bone	HG19_Broad_variant	Hs819.T	Cell Line
49394d11-e378-4b1a-a7e4-222f3a198408	CCLE-HCC-1359-RNA-08	CCLE-HCC-1359	Lung squamous cell carcinoma	RNA-Seq	Female	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	HCC-1359	Cell Line
1cf42378-5924-40af-aa80-85cd6f6d0173	CCLE-Panc10.05-RNA-08	CCLE-Panc10.05	Pancreatic adenocarcinoma	RNA-Seq	Male	CCLE-PAAD	Illumina	pancreas	HG19_Broad_variant	Panc10.05	Cell Line
186d25f7-aefe-4b54-9952-6bfdb8c20ea1	CCLE-Sq-1-RNA-08	CCLE-Sq-1	Lung squamous cell carcinoma	RNA-Seq	Not available	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	Sq-1	Cell Line
33631406-d9a1-47d7-923e-e3ca5685227e	CCLE-HGC-27-RNA-08	CCLE-HGC-27	Stomach adenocarcinoma	RNA-Seq	Not available	CCLE-STAD	Illumina	stomach	HG19_Broad_variant	HGC-27	Cell Line
8be413f0-fb3a-41cb-9aae-7d592e670d00	CCLE-JHUEM-3-RNA-08	CCLE-JHUEM-3	Uterine Corpus Endometrioid Carcinoma	RNA-Seq	Not available	CCLE-CESC	Illumina	endometrium	HG19_Broad_variant	JHUEM-3	Cell Line
7139fdce-e4ec-451c-967d-a5f306e6710c	CCLE-PK-59-RNA-08	CCLE-PK-59	Pancreatic adenocarcinoma	RNA-Seq	Not available	CCLE-PAAD	Illumina	pancreas	HG19_Broad_variant	PK-59	Cell Line
7614bbdd-f7ff-4bea-b125-2566919b42c2	CCLE-NCI-H322-RNA-08	CCLE-NCI-H322	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	NCI-H322	Cell Line
dad1a1e9-dc5a-439c-a1df-55d48c6dcfec	CCLE-NCI-H1339-RNA-08	CCLE-NCI-H1339	Lung squamous cell carcinoma	RNA-Seq	Female	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	NCI-H1339	Cell Line
dc96776c-d2d9-4612-a252-b3c733c408ae	CCLE-Hs739.T-RNA-08	CCLE-Hs739.T	Breast invasive carcinoma	RNA-Seq	Female	CCLE-BRCA	Illumina	breast	HG19_Broad_variant	Hs739.T	Cell Line
b9750714-5f62-433f-a82f-b575f1b41cb6	CCLE-SK-N-DZ-RNA-08	CCLE-SK-N-DZ	Brain Lower Grade Glioma	RNA-Seq	Female	CCLE-LGG	Illumina	autonomic_ganglia	HG19_Broad_variant	SK-N-DZ	Cell Line
e8c613e3-4a6d-440c-9d90-5a42514b588d	CCLE-SNU-1040-RNA-08	CCLE-SNU-1040	Colon adenocarcinoma	RNA-Seq	Male	CCLE-COAD	Illumina	large_intestine	HG19_Broad_variant	SNU-1040	Cell Line
ee79bd98-4bf1-4857-880c-5440fedc882a	CCLE-TE125.T-RNA-08	CCLE-TE125.T	Sarcoma	RNA-Seq	Female	CCLE-SARC	Illumina	soft_tissue	HG19_Broad_variant	TE125.T	Cell Line
e5c495ea-438a-4b19-afab-3561a7d76486	CCLE-UM-UC-1-RNA-08	CCLE-UM-UC-1	Bladder Urothelial Carcinoma	RNA-Seq	Male	CCLE-BLCA	Illumina	urinary_tract	HG19_Broad_variant	UM-UC-1	Cell Line
efd938fb-f49c-42fe-8e60-7a972af3a8cc	CCLE-MOLT-16-RNA-08	CCLE-MOLT-16	Chronic Lymphocytic Leukemia	RNA-Seq	Female	CCLE-LCLL	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	MOLT-16	Cell Line
7516fc04-6d13-42cc-be1e-c57157310728	CCLE-MKN1-RNA-08	CCLE-MKN1	Stomach adenocarcinoma	RNA-Seq	Male	CCLE-STAD	Illumina	stomach	HG19_Broad_variant	MKN1	Cell Line
7a8922f6-de40-4252-8fa7-40c145b059af	CCLE-SK-LMS-1-RNA-08	CCLE-SK-LMS-1	Sarcoma	RNA-Seq	Female	CCLE-SARC	Illumina	soft_tissue	HG19_Broad_variant	SK-LMS-1	Cell Line
09032761-c49f-430b-80da-4687cdd8782e	CCLE-RMG-I-RNA-08	CCLE-RMG-I	Ovarian serous cystadenocarcinoma	RNA-Seq	Female	CCLE-OV	Illumina	ovary	HG19_Broad_variant	RMG-I	Cell Line
8eb83afa-0ae0-48eb-a9d4-09c4f4496222	CCLE-COLO-783-RNA-08	CCLE-COLO-783	Skin Cutaneous Melanoma	RNA-Seq	Female	CCLE-SKCM	Illumina	skin	HG19_Broad_variant	COLO-783	Cell Line
b496b51a-973d-47ef-be8c-18f91ee82b9f	CCLE-KP-2-RNA-08	CCLE-KP-2	Pancreatic adenocarcinoma	RNA-Seq	Female	CCLE-PAAD	Illumina	pancreas	HG19_Broad_variant	KP-2	Cell Line
6982da6a-cfba-4dfd-bf20-0450bf7a8193	CCLE-TT2609-C02-RNA-08	CCLE-TT2609-C02	Thyroid carcinoma	RNA-Seq	Male	CCLE-THCA	Illumina	thyroid	HG19_Broad_variant	TT2609-C02	Cell Line
811e2fe2-7106-48d2-ae33-b57abd466b16	CCLE-ACHN-RNA-08	CCLE-ACHN	Kidney renal clear cell carcinoma	RNA-Seq	Male	CCLE-KIRC	Illumina	kidney	HG19_Broad_variant	ACHN	Cell Line
45d231bc-b711-4b29-98b5-b043d2b21a9c	CCLE-EM-2-RNA-08	CCLE-EM-2	Chronic Lymphocytic Leukemia	RNA-Seq	Female	CCLE-LCLL	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	EM-2	Cell Line
d39df325-0b99-4bd6-8399-7c949f801393	CCLE-MONO-MAC-1-RNA-08	CCLE-MONO-MAC-1	Chronic Lymphocytic Leukemia	RNA-Seq	Male	CCLE-LCLL	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	MONO-MAC-1	Cell Line
485d25de-e929-4123-8df6-65cdd3c5859f	CCLE-ONS-76-RNA-08	CCLE-ONS-76	Brain Lower Grade Glioma	RNA-Seq	Female	CCLE-LGG	Illumina	central_nervous_system	HG19_Broad_variant	ONS-76	Cell Line
